CreationTime         LastWriteTime         FullName
------------         -------------         --------
5/2/2026 10:13:16 PM 5/2/2026 10:13:17 PM  C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\lesson.css
5/2/2026 10:17:43 PM 5/3/2026 1:50:05 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\blank-lesson.html
5/2/2026 10:20:01 PM 5/3/2026 1:05:43 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_1\lesson_2...
5/2/2026 10:21:55 PM 5/3/2026 1:05:40 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_1\lesson_3...
5/2/2026 10:25:48 PM 5/3/2026 1:05:35 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_1\lesson_4...
5/2/2026 10:29:51 PM 5/3/2026 4:56:58 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_1\lesson_5...
5/2/2026 10:35:02 PM 5/3/2026 1:05:22 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_1\lesson_6...
5/2/2026 10:36:43 PM 5/3/2026 1:05:27 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_1\lesson_7...
5/2/2026 10:40:37 PM 5/3/2026 1:05:00 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_1\lesson_8...
5/2/2026 10:41:47 PM 5/3/2026 4:58:49 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_1\unit_1_r...
5/2/2026 10:47:17 PM 5/3/2026 1:07:57 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_1\lesson_1...
5/2/2026 10:47:46 PM 5/3/2026 1:10:01 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_1\lesson_9...
5/2/2026 10:52:34 PM 5/3/2026 1:10:58 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_1\lesson_1...
5/2/2026 10:56:28 PM 5/3/2026 1:11:09 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_1\lesson_1...
5/2/2026 10:57:05 PM 5/3/2026 1:11:18 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_1\lesson_1...
5/2/2026 10:59:40 PM 5/3/2026 1:12:50 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_1\lesson_1...
5/2/2026 11:00:59 PM 5/3/2026 1:12:06 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_1\lesson_1...
5/2/2026 11:03:46 PM 5/3/2026 4:59:31 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_1\unit_2_r...
5/3/2026 12:11:29 AM 5/3/2026 12:10:37 AM  C:\MGU\desk\library\infographics\math\measures-of-centrality.png
5/3/2026 12:11:29 AM 5/2/2026 9:32:14 PM   C:\MGU\desk\library\infographics\math\quadratic-formula.png
5/3/2026 12:11:29 AM 5/2/2026 9:32:00 PM   C:\MGU\desk\library\infographics\math\long-division.png
5/3/2026 12:11:29 AM 5/2/2026 9:32:27 PM   C:\MGU\desk\library\infographics\math\sohcahtoa.png
5/3/2026 12:11:29 AM 5/2/2026 9:32:17 PM   C:\MGU\desk\library\infographics\math\pemdas.png
5/3/2026 12:11:29 AM 5/2/2026 9:32:31 PM   C:\MGU\desk\library\infographics\math\foil.png
5/3/2026 12:11:29 AM 5/2/2026 9:32:32 PM   C:\MGU\desk\library\infographics\math\law-of-sines.png
5/3/2026 12:11:29 AM 5/2/2026 9:32:35 PM   C:\MGU\desk\library\infographics\math\long-multiplication.png
5/3/2026 12:11:29 AM 5/2/2026 9:32:36 PM   C:\MGU\desk\library\infographics\math\addition.png
5/3/2026 12:11:29 AM 5/2/2026 9:32:34 PM   C:\MGU\desk\library\infographics\math\law-of-cosines.png
